run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
21,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777963.0999999954
21,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777963.0999999954
21,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777963.0999999954
22,50000,4,1,0,2,2,0.6874999999999998,55.5625,2777947.4624999957
22,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777947.4624999957
22,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777947.4624999957
22,50000,4,1,3,1,1,-0.3125000000000002,55.5625,2777947.4624999957
23,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777953.287499996
23,50000,4,1,1,2,2,0.6874999999999998,55.5625,2777953.287499996
23,50000,4,1,2,1,1,-0.3125000000000002,55.5625,2777953.287499996
23,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777953.287499996
24,50000,4,1,0,1,1,-0.3125000000000002,55.5625,2777962.0249999957
24,50000,4,1,1,1,1,-0.3125000000000002,55.5625,2777962.0249999957
24,50000,4,1,2,2,2,0.6874999999999998,55.5625,2777962.0249999957
24,50000,4,1,3,2,2,0.6874999999999998,55.5625,2777962.0249999957
