run,period,agent_count,landscape_size,agent_id,sheep_count_if_seen,best_sheep_count_if_seen,payoff,avg_period_felicity,avg_social_welfare
16,50000,4,1,0,2,2,-0.3125,13.517187499999999,674604.8007818813
16,50000,4,1,1,3,3,-0.059374999999999956,13.517187499999999,674604.8007818813
16,50000,4,1,2,2,2,-0.3125,13.517187499999999,674604.8007818813
16,50000,4,1,3,3,3,-0.059374999999999956,13.517187499999999,674604.8007818813
17,50000,4,1,0,2,2,-0.3125,13.517187499999999,674308.12968813
17,50000,4,1,1,3,3,-0.059374999999999956,13.517187499999999,674308.12968813
17,50000,4,1,2,2,2,-0.3125,13.517187499999999,674308.12968813
17,50000,4,1,3,3,3,-0.059374999999999956,13.517187499999999,674308.12968813
18,50000,4,1,0,2,2,-0.05312500000000009,13.71328125,684338.9874993606
18,50000,4,1,1,2,2,-0.05312500000000009,13.71328125,684338.9874993606
18,50000,4,1,2,3,3,0.19999999999999996,13.71328125,684338.9874993606
18,50000,4,1,3,2,2,-0.05312500000000009,13.71328125,684338.9874993606
19,50000,4,1,0,2,2,-0.3125,13.51875,674562.2609376962
19,50000,4,1,1,2,2,-0.3125,13.51875,674562.2609376962
19,50000,4,1,2,4,4,0.19999999999999996,13.51875,674562.2609376962
19,50000,4,1,3,2,2,-0.3125,13.51875,674562.2609376962
20,50000,4,1,0,2,2,-0.05312500000000009,13.713281250000001,683958.1437493616
20,50000,4,1,1,2,2,-0.05312500000000009,13.713281250000001,683958.1437493616
20,50000,4,1,2,2,2,-0.05312500000000009,13.713281250000001,683958.1437493616
20,50000,4,1,3,3,3,0.19999999999999996,13.713281250000001,683958.1437493616
21,50000,4,1,0,2,2,-0.3125,13.51875,674958.3906251976
21,50000,4,1,1,2,2,-0.3125,13.51875,674958.3906251976
21,50000,4,1,2,4,4,0.19999999999999996,13.51875,674958.3906251976
21,50000,4,1,3,2,2,-0.3125,13.51875,674958.3906251976
22,50000,4,1,0,4,4,0.19999999999999996,13.51875,674144.6945314419
22,50000,4,1,1,2,2,-0.3125,13.51875,674144.6945314419
22,50000,4,1,2,2,2,-0.3125,13.51875,674144.6945314419
22,50000,4,1,3,2,2,-0.3125,13.51875,674144.6945314419
23,50000,4,1,0,3,3,-0.059374999999999956,13.517187499999999,674794.8296881322
23,50000,4,1,1,2,2,-0.3125,13.517187499999999,674794.8296881322
23,50000,4,1,2,2,2,-0.3125,13.517187499999999,674794.8296881322
23,50000,4,1,3,3,3,-0.059374999999999956,13.517187499999999,674794.8296881322
24,50000,4,1,0,2,2,-0.578125,13.31640625,664729.9726562495
24,50000,4,1,1,3,3,-0.32499999999999996,13.31640625,664729.9726562495
24,50000,4,1,2,4,4,-0.06562500000000004,13.31640625,664729.9726562495
24,50000,4,1,3,2,2,-0.578125,13.31640625,664729.9726562495
